Latitude,Longitude,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Date,Maximum Temperature
43.41,-124.22,North Bend,US,54.64,100,75,5.82,1602661168,55.99
55.74,-97.86,Thompson,CA,30.2,74,40,11.41,1602661168,30.2
40.6,-124.16,Fortuna,US,60.53,100,90,3.36,1602661168,62.01
44.08,-80.2,Shelburne,CA,45.55,87,1,10.4,1602661168,46.0
27.75,-107.63,Creel,MX,53.4,52,98,3.76,1602661168,53.4
27.98,-114.06,Guerrero Negro,MX,79.05,57,100,8.7,1602661168,79.05
21.17,-86.85,Cancún,MX,80.31,74,20,8.72,1602661168,80.6
20.35,-74.5,Baracoa,CU,78.17,82,14,0.96,1602661169,78.17
40.66,-73.58,Freeport,US,53.02,71,1,11.41,1602661169,55.0
57.79,-152.41,Saint Paul Harbor,US,42.8,87,75,4.7,1602661169,42.8
65.28,-126.83,Norman Wells,CA,19.4,85,75,8.05,1602661169,19.4
60.72,-135.05,Whitehorse,CA,31.3,95,75,5.82,1602660887,32.0
48.65,-72.45,Saint-Félicien,CA,44.6,93,90,3.36,1602661169,44.6
30.42,-87.22,Pensacola,US,67.12,68,1,10.29,1602660959,70.0
44.77,-117.83,Baker City,US,46.24,61,1,4.7,1602661169,46.4
58.81,-122.7,Fort Nelson,CA,26.6,92,90,5.82,1602661028,26.6
54.52,-128.6,Terrace,CA,42.8,93,75,6.93,1602661170,42.8
39.71,-91.36,Hannibal,US,55.24,41,1,4.7,1602661170,57.2
23.17,-97.95,Nuevo Progreso,MX,75.31,68,53,4.18,1602661170,75.99
48.6,-93.4,Fort Frances,CA,33.8,69,1,8.52,1602661170,33.8
57.05,-135.33,Sitka,US,42.8,87,90,0.13,1602661170,42.8
64.84,-147.72,Fairbanks,US,19.11,79,75,3.49,1602661170,21.2
28.33,-82.68,Bayonet Point,US,74.84,95,0,5.26,1602661171,75.99
20.89,-156.47,Kahului,US,75.13,57,1,4.7,1602660950,78.8
39.96,-83.0,Columbus,US,49.57,76,20,4.7,1602661064,51.01
19.73,-155.09,Hilo,US,70.54,78,1,4.7,1602661171,73.4
45.6,-76.48,Shawville,CA,42.04,94,90,2.15,1602661171,46.0
39.15,-123.21,Ukiah,US,59.7,63,1,3.36,1602660437,63.0
34.64,-120.46,Lompoc,US,57.94,87,1,3.36,1602661171,64.4
22.08,-159.32,Kapaa,US,75.0,69,20,12.75,1602661171,80.6
27.23,-100.15,Anáhuac,MX,76.95,82,14,9.82,1602661172,76.95
41.74,-92.72,Grinnell,US,47.95,53,1,4.7,1602661172,50.0
-23.85,151.25,Gladstone,AU,75.2,60,75,23.04,1602661172,75.2
29.6,-90.72,Houma,US,65.14,88,1,4.7,1602661172,66.99
50.7,-127.42,Port Hardy,CA,48.2,93,75,5.82,1602661172,48.2
21.0,-99.92,Querétaro,MX,59.0,93,40,4.7,1602661140,59.0
22.9,-83.16,Bahía Honda,CU,76.32,80,48,8.14,1602661172,76.32
54.32,-130.32,Prince Rupert,CA,44.6,93,90,8.05,1602661172,44.6
21.11,-76.13,Gibara,CU,75.2,100,20,1.12,1602661172,75.2
49.82,-94.43,Kenora,CA,41.0,56,20,6.93,1602661173,41.0
